phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
2.3,1384.347332,0.226880932,1.86E-06,1.06E-13,2.07E-14,1.41E-08,0.09211027,1.35E-17,1.34E-15,1.95E-22,1.39E-20,3.23E-16,5.86E-18,5.58E-11,3.40E-07,0.133718114,0.025783029,6.70E-10,1.40E-08,1.55E-14,9.51E-17,5.94E-12,6.40E-21,9.01E-13,6.58E-18,2.05E-13,2.20E-18,1.06E-15,7.65E-17,1.38E-12,1.80E-17,1.79E-15,1.31E-13,1.09E-10,7.12E-06,1.28E-12,1.70E-10,4.21E-19,8.90E-15,1.58E-14,5.68E-15,3.04E-07,1.70E-14,2.83E-22,8.10E-19,4.46E-12,4.43E-08,5.46E-14,0.521497953,0,1.90E-26,9.12E-24,4.95E-18,4.53E-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,1327.460343,0.242658516,8.37E-07,1.38E-14,2.31E-15,4.24E-09,0.083415041,1.51E-18,2.72E-16,2.71E-23,3.17E-21,1.66E-16,2.62E-18,7.48E-11,1.10E-06,0.137760475,0.025283381,4.09E-10,1.57E-08,1.27E-14,7.00E-17,1.03E-11,3.29E-21,1.70E-12,1.01E-17,8.31E-13,7.30E-18,7.81E-15,5.64E-17,2.46E-12,1.98E-17,2.99E-16,3.54E-14,5.77E-11,9.60E-06,5.18E-13,4.01E-11,4.10E-20,2.13E-15,3.68E-15,2.23E-15,3.89E-07,1.48E-14,1.03E-22,2.96E-19,3.27E-12,4.78E-08,2.22E-14,0.51087059,0,1.48E-25,1.59E-22,7.09E-18,1.39E-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,1272.093468,0.25790655,3.57E-07,1.61E-15,2.31E-16,1.19E-09,0.074962521,1.50E-19,5.06E-17,3.30E-24,6.48E-22,7.97E-17,1.09E-18,9.92E-11,3.68E-06,0.141533381,0.024910567,2.40E-10,1.75E-08,1.00E-14,4.97E-17,1.82E-11,1.58E-21,3.23E-12,1.53E-17,3.50E-12,2.47E-17,6.15E-14,3.99E-17,4.41E-12,2.12E-17,4.50E-17,8.86E-15,2.91E-11,1.30E-05,1.97E-13,8.74E-12,3.55E-21,4.72E-16,7.92E-16,8.20E-16,4.96E-07,1.25E-14,3.48E-23,1.01E-19,2.34E-12,5.15E-08,8.53E-15,0.50066939,0,1.21E-24,3.04E-21,1.00E-17,4.38E-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6,1218.201739,0.272623697,1.44E-07,1.65E-16,2.04E-17,3.10E-10,0.066764172,1.31E-20,8.54E-18,3.50E-25,1.18E-22,3.60E-17,4.23E-19,1.30E-10,1.29E-05,0.145069519,0.024637168,1.35E-10,1.94E-08,7.72E-15,3.40E-17,3.23E-11,7.05E-22,6.16E-12,2.29E-17,1.55E-11,8.62E-17,5.23E-13,2.71E-17,8.02E-12,2.24E-17,6.05E-18,2.03E-15,1.39E-11,1.77E-05,7.07E-14,1.75E-12,2.69E-22,9.66E-17,1.56E-16,2.80E-16,6.34E-07,1.03E-14,1.09E-23,3.22E-20,1.63E-12,5.53E-08,3.09E-15,0.490874061,0,1.05E-23,6.49E-20,1.41E-17,1.44E-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,1165.834586,0.286771783,5.49E-08,1.49E-17,1.58E-18,7.45E-11,0.058848794,1.00E-21,1.30E-18,3.21E-26,1.93E-23,1.52E-17,1.52E-19,1.71E-10,4.74E-05,0.148391778,0.024435979,7.29E-11,2.14E-08,5.75E-15,2.24E-17,5.83E-11,2.93E-22,1.19E-11,3.42E-17,7.22E-11,3.12E-16,4.85E-12,1.77E-17,1.48E-11,2.33E-17,7.21E-19,4.23E-16,6.33E-12,2.42E-05,2.38E-14,3.22E-13,1.77E-23,1.81E-17,2.79E-17,8.91E-17,8.12E-07,8.18E-15,3.13E-24,9.51E-21,1.10E-12,5.94E-08,1.05E-15,0.481479196,0,9.84E-23,1.57E-18,1.98E-17,4.92E-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8,1115.423499,0.300173572,1.98E-08,1.20E-18,1.08E-19,1.67E-11,0.051310553,6.71E-23,1.80E-19,2.59E-27,2.84E-24,6.04E-18,5.09E-20,2.22E-10,0.00018229,0.151486402,0.024279735,3.78E-11,2.35E-08,4.16E-15,1.42E-17,1.07E-10,1.15E-22,2.34E-11,5.07E-17,3.55E-10,1.17E-15,4.87E-11,1.12E-17,2.78E-11,2.38E-17,7.72E-20,8.13E-17,2.74E-12,3.32E-05,7.53E-15,5.44E-14,1.02E-24,3.15E-18,4.59E-18,2.65E-17,1.04E-06,6.37E-15,8.38E-25,2.63E-21,7.23E-13,6.37E-08,3.38E-16,0.472533081,0,9.90E-22,4.27E-17,2.78E-17,1.75E-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,1068.791764,0.31217348,7.09E-09,9.45E-20,7.21E-21,3.67E-12,0.044463206,4.40E-24,2.44E-20,2.03E-28,4.05E-25,2.35E-18,1.67E-20,2.85E-10,0.000696233,0.154201794,0.024149478,1.94E-11,2.56E-08,2.96E-15,8.87E-18,1.92E-10,4.39E-23,4.53E-11,7.38E-17,1.73E-09,4.31E-15,4.83E-10,6.97E-18,5.16E-11,2.41E-17,8.12E-21,1.53E-17,1.17E-12,4.53E-05,2.36E-15,9.08E-15,5.80E-26,5.41E-19,7.42E-19,7.77E-18,1.33E-06,4.89E-15,2.20E-25,7.15E-22,4.72E-13,6.80E-08,1.08E-16,0.464269051,0,9.76E-21,1.14E-15,3.82E-17,6.18E-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1030.420284,0.321257182,2.83E-09,9.87E-21,6.55E-22,9.55E-13,0.039003425,3.90E-25,4.13E-21,2.09E-29,7.10E-26,1.00E-18,6.08E-21,3.50E-10,0.00225184,0.156114318,0.024059075,1.06E-11,2.73E-08,2.16E-15,5.76E-18,3.21E-10,1.84E-23,8.02E-11,1.01E-16,6.87E-09,1.34E-14,3.61E-09,4.51E-18,8.83E-11,2.39E-17,1.09E-21,3.46E-18,5.45E-13,5.92E-05,8.36E-16,1.85E-15,4.54E-27,1.13E-19,1.47E-19,2.59E-18,1.64E-06,3.81E-15,6.65E-26,2.23E-22,3.21E-13,7.17E-08,3.87E-17,0.457253213,0,7.19E-20,2.05E-14,4.99E-17,1.86E-11
